objectid,id_punto,nombreestablecimiento,direccion,municipio,barrio,estado,longitud,latitud
1,1,4 Esquinas,CL 21 81 04,Bello,Paris,En servicio,-75.58523658,6.3149193
2,2,5 Esquinas,CL 54 53 55,Bello,Bello,En servicio,-75.56146885,6.33773422
3,3,Alkala,DG 44 33B 49,Bello,Bello,En servicio,-75.53870309,6.33231093
4,4,Bar Santander,CR 50 50 A 27,Bello,Bello,En servicio,-75.55869445,6.33488208
5,5,Bar Santander (2),CR 50 50 A 27,Bello,Bello,En servicio,-75.55869445,6.33488208
6,6,Barrio Obrero,CL 31 53 04,Bello,Bello,En servicio,-75.55943105,6.31974256
7,7,Billares,CR 83 101 DD 19,Bello,Paris,En servicio,-75.58234987,6.30364856
8,8,Bingo La 51,CR 51 50 56,Bello,Bello,En servicio,-75.55943822,6.33435049
9,9,Buena Esquina,CR 52 55 37,Bello,Bello,En servicio,-75.56124711,6.33890127
10,10,Cabañas La 58,CR 58 27 A 34,Bello,Bello,En servicio,-75.56364428,6.31658093
11,11,Cabañitas,CR 58 D 26 12,Bello,Bello,En servicio,-75.56686747,6.31523608
12,12,Camacol,AV 47B 65 120,Bello,Bello,En servicio,-75.55440983,6.34751836
13,13,Caretero Qap,TRANSVERSAL 56A 54 19,Bello,Bello,En servicio,-75.56107191,6.34153415
14,14,Carnelly,CR 49 49 61,Bello,Bello,En servicio,-75.55781243,6.33419845
15,15,Clinica Antioquia,CR 48 47 25,Bello,Bello,En servicio,-75.55649404,6.33343256
16,16,Club Obrero,CL 35 52 27,Bello,Bello,En servicio,-75.55919159,6.32233716
17,17,Congolo Hv,CR 50 58 43,Bello,Bello,En servicio,-75.55926651,6.34054575
18,18,Congolo Puente Qap,CR 47 58 28,Bello,Bello,En servicio,-75.55682103,6.34083302
19,19,Cumbre Rey,CR 63 56 13,Bello,Bello,En servicio,-75.56770141,6.33982822
20,20,De Uno Paisajes,CR 65 68 31 INT 105,Bello,Bello,En servicio,-75.567586,6.348749
21,21,Droguería La 50,CR 50 55 04,Bello,Bello,En servicio,-75.55893656,6.33839627
22,22,Drogueria Manchester,CL 45 48 23,Bello,Bello,En servicio,-75.55553,6.3311
23,23,Drogueria Servimedic,CL 53 64 27,Bello,Bello,En servicio,-75.56980941,6.33780837
24,24,Ducado,CR 58 CL 66 4,Bello,Bello,En servicio,-75.56245003,6.34697404
25,25,Eca Bellanita,CL 63 59 38,Bello,Bello,En servicio,-75.56401506,6.34456302
26,26,El Cairo,CR 50 63 15,Bello,Bello,En servicio,-75.55944527,6.3423781
27,27,El Carmen,CL 58 62 44,Bello,Bello,En servicio,-75.56648872,6.34186542
28,28,El Chino,CL 51 51 34,Bello,Bello,En servicio,-75.55980644,6.33511598
29,29,El Copo De Nieve S.A.S,DG 57 34 65,Bello,Bello,En servicio,-75.54282,6.34161
30,30,El Perez,CR 55 49 49,Bello,Bello,En servicio,-75.56238923,6.33358572
31,31,El Vergel,CL 62 63 B 15,Bello,Bello,En servicio,-75.56798447,6.34511842
32,32,Espititu Santo,CL 49 A 56 84,Bello,Bello,En servicio,-75.55911,6.339602
33,33,Fernando Velez,CL 53 62 B 70,Bello,Bello,En servicio,-75.56792621,6.33783355
34,34,Florida 1,CL 31 55 06,Bello,Bello,En servicio,-75.56046583,6.31958688
35,35,Fotocopias Mirian,CR 59 40 A 44,Bello,Bello,En servicio,-75.56667,6.3307
36,36,Fruver Niquia,DG 55 AVENIDA 37 20,Bello,Bello,En servicio,-75.544025,6.340119
37,37,Gana Santa Ines,CL 47 45 83,Bello,Bello,En servicio,-75.55450045,6.33399185
38,38,Gana Santa Ines (2),CL 47 45 83         ,Bello,Bello,En servicio,-75.55450045,6.33399185
39,39,Gana Servicios Barrio Obrero,CL 35 51 35,Bello,Bello,En servicio,-75.55866676,6.32214073
40,40,Gana Servicios Bellanita,TRANSVERSAL 56A 57 17,Bello,Bello,En servicio,-75.56310245,6.34323252
41,41,Gana Servicios Bello,CL 51 51 11,Bello,Bello,En servicio,-75.55969218,6.33498549
42,42,Gana Servicios C.C Puerta Del Norte I I,DG 55 AUT NORTE LOCAL 1 154,Bello,Bello,En servicio,-75.54238293,6.33927264
43,43,Gana Servicios Machado,DG 44 32 21,Bello,Bello,En servicio,-75.5373131,6.33378328
44,44,Gana Servicios Niquia,AV 43 58 55,Bello,Bello,En servicio,-75.550237,6.3413373
45,45,Gana Servicios Paris,CR 72 20 D 85,Bello,Paris,En servicio,-75.57875313,6.3109422
46,46,Granero El Atardecer,CL 29 A 51 A 05,Bello,Bello,En servicio,-75.55862626,6.31804688
47,47,Hato Viejo,CR 63 A A 54 37,Bello,Bello,En servicio,-75.56881364,6.33843191
